fig3_row,Ne,M,Me,h2,N,Mlambda,S,S_A,S_B,S_over_Me
bottom,50,50000,5000,0.4,50000,75000.0,1974.277,1923.25,51.027,0.3949
bottom,50,50000,5000,0.5,50000,50000.0,2272.511,2196.587,75.924,0.4545
bottom,50,50000,5000,0.6,50000,33333.33,2598.028,2485.492,112.536,0.5196
bottom,50,50000,5000,0.7,50000,21428.57,2984.806,2813.106,171.7,0.597
bottom,50,50000,5000,0.8,50000,12500.0,3503.139,3219.454,283.685,0.7006
bottom,50,50000,5000,0.9,50000,5555.56,4380.894,3802.543,578.351,0.8762
bottom,50,50000,5000,0.95,50000,2631.58,5292.701,4251.529,1041.171,1.0585
bottom,100,100000,10000,0.05,10000,1900000.0,333.183,333.183,0.0,0.0333
bottom,100,100000,10000,0.1,10000,900000.0,551.996,551.996,0.0,0.0552
bottom,100,100000,10000,0.2,10000,400000.0,889.709,889.709,0.0,0.089
bottom,100,100000,10000,0.3,10000,233333.33,1176.729,1176.729,0.0,0.1177
bottom,100,100000,10000,0.4,10000,150000.0,1450.283,1450.283,0.0,0.145
bottom,100,100000,10000,0.5,10000,100000.0,1731.778,1731.778,0.0,0.1732
bottom,100,100000,10000,0.6,10000,66666.67,2042.29,2042.29,0.0,0.2042
bottom,100,100000,10000,0.7,10000,42857.14,2413.316,2413.316,0.0,0.2413
bottom,100,100000,10000,0.8,10000,25000.0,2911.003,2911.003,0.0,0.2911
bottom,100,100000,10000,0.9,10000,11111.11,3747.914,3747.914,0.0,0.3748
bottom,100,100000,10000,0.95,10000,5263.16,4601.051,4601.051,0.0,0.4601
bottom,100,100000,10000,0.05,20000,1900000.0,543.234,542.505,0.729,0.0543
bottom,100,100000,10000,0.1,20000,900000.0,855.46,853.922,1.539,0.0855
bottom,100,100000,10000,0.2,20000,400000.0,1313.356,1309.896,3.46,0.1313
bottom,100,100000,10000,0.3,20000,233333.33,1690.757,1684.828,5.929,0.1691
bottom,100,100000,10000,0.4,20000,150000.0,2045.447,2036.231,9.216,0.2045
bottom,100,100000,10000,0.5,20000,100000.0,2407.986,2394.176,13.81,0.2408
bottom,100,100000,10000,0.6,20000,66666.67,2807.003,2786.319,20.684,0.2807
bottom,100,100000,10000,0.7,20000,42857.14,3284.542,3252.448,32.094,0.3285
bottom,100,100000,10000,0.8,20000,25000.0,3929.252,3874.509,54.743,0.3929
bottom,100,100000,10000,0.9,20000,11111.11,5031.811,4910.45,121.36,0.5032
bottom,100,100000,10000,0.95,20000,5263.16,6190.686,5941.704,248.982,0.6191
bottom,100,100000,10000,0.05,50000,1900000.0,955.589,952.313,3.276,0.0956
bottom,100,100000,10000,0.1,50000,900000.0,1412.084,1405.172,6.913,0.1412
bottom,100,100000,10000,0.2,50000,400000.0,2046.612,2031.08,15.532,0.2047
bottom,100,100000,10000,0.3,50000,233333.33,2554.283,2527.705,26.578,0.2554
bottom,100,100000,10000,0.4,50000,150000.0,3025.061,2983.816,41.245,0.3025
bottom,100,100000,10000,0.5,50000,100000.0,3502.821,3441.159,61.662,0.3503
bottom,100,100000,10000,0.6,50000,66666.67,4026.631,3934.594,92.037,0.4027
bottom,100,100000,10000,0.7,50000,42857.14,4652.563,4510.556,142.006,0.4653
bottom,100,100000,10000,0.8,50000,25000.0,5498.247,5258.663,239.584,0.5498
bottom,100,100000,10000,0.9,50000,11111.11,6951.152,6436.014,515.138,0.6951
bottom,100,100000,10000,0.95,50000,5263.16,8492.452,7489.963,1002.489,0.8492
