Ne,h2,N,rep,R2_random,R2_full
Ne50,0.1,5000,29,0.5480803431458521,0.6130064695551424
Ne50,0.1,5000,30,0.492008642618451,0.5542074719521605
Ne50,0.1,5000,31,0.42775605696009783,0.47017924277275425
Ne20,0.5,50000,72,0.9529519631409179,0.967331624002236
Ne50,0.1,5000,32,0.45465059070263253,0.5058917828629136
Ne20,0.5,50000,73,0.9637248482590745,0.9722208309735122
Ne50,0.1,5000,34,0.47869405115453806,0.5402280883725343
Ne50,0.1,5000,33,0.4868348832913392,0.5165893279029186
Ne20,0.5,50000,74,0.9626651377978169,0.9755421316638939
Ne20,0.5,50000,75,0.9581467640279643,0.9713268185124899
Ne50,0.1,5000,35,0.4902976965458327,0.5355100113589238
Ne20,0.5,50000,77,0.9663651267054525,0.97594880513269
Ne20,0.5,50000,76,0.958626337476129,0.9709677613887271
Ne50,0.1,5000,37,0.4507370764270066,0.5153735922519718
Ne50,0.1,5000,36,0.4233908210190381,0.4940564714062243
Ne20,0.5,50000,78,0.9616143151277601,0.9730787066416308
Ne50,0.1,5000,38,0.5340903276630865,0.6036542600741049
Ne20,0.5,50000,79,0.9604348309466897,0.9722935266390005
Ne20,0.5,50000,80,0.9672445610638786,0.9720008919136623
Ne50,0.1,5000,41,0.4082407078731656,0.47786303890085396
Ne50,0.1,5000,40,0.47074879112174184,0.5221390314404993
Ne50,0.1,5000,39,0.4665798126174246,0.5036603040408256
Ne50,0.1,5000,42,0.49398018312808756,0.5418202692086166
Ne50,0.1,5000,43,0.4250302360833321,0.4872526105200943
Ne50,0.1,5000,45,0.4992164986689772,0.5523119445350367
Ne50,0.1,5000,44,0.5206382611157805,0.5934947350092776
Ne20,0.5,50000,83,0.9663797775702306,0.9743868049150018
Ne20,0.5,50000,84,0.9694649271935775,0.9763057103784365
Ne20,0.5,50000,87,0.967477688957556,0.9757650884618705
Ne20,0.5,50000,82,0.9637494385086701,0.9749636412792566
Ne50,0.1,5000,48,0.49264006194996335,0.5391128919405834
Ne20,0.5,50000,90,0.9622156831333858,0.9710996010500019
Ne20,0.5,50000,81,0.9686833287650848,0.9759416224362891
Ne50,0.1,5000,49,0.48445602494693496,0.5375470027625517
Ne50,0.1,5000,47,0.5046384968339996,0.5515101609185511
Ne20,0.5,50000,92,0.9709225606827737,0.9767653364214024
Ne50,0.1,5000,46,0.4799550816672083,0.5280996092120711
Ne20,0.5,50000,86,0.9725481885927495,0.980446462974816
Ne20,0.5,50000,89,0.9681040775481778,0.9738690391644956
Ne50,0.1,5000,51,0.4859555584846871,0.5459309337343216
Ne50,0.1,5000,53,0.4795637390526281,0.525325041604146
Ne50,0.1,5000,50,0.5528310203715546,0.6039013796006374
Ne20,0.5,50000,88,0.9544343390546385,0.9692498699806827
Ne50,0.1,5000,55,0.41870079417639733,0.4535827590479661
Ne20,0.5,50000,95,0.9619730252991188,0.9724133914753555
Ne50,0.1,5000,52,0.46729821624437107,0.5354491480529862
Ne20,0.5,50000,85,0.961088338771775,0.9723461394050653
Ne50,0.1,5000,54,0.4822794109687373,0.531595393386758
Ne50,0.1,5000,57,0.4772308939029391,0.5418830851801268
Ne20,0.5,50000,96,0.9594053974614332,0.9752422806904315
Ne50,0.1,5000,58,0.5189051223656344,0.5597425022992911
Ne50,0.1,5000,56,0.42388990370480234,0.48068292387575845
Ne20,0.5,50000,100,0.9574981074789334,0.9704056764651531
Ne20,0.5,50000,99,0.9706701105389548,0.9773404418410225
Ne20,0.5,50000,91,0.9547418268679222,0.9687563911549727
Ne20,0.5,50000,94,0.9628282119598134,0.9712948944948915
Ne20,0.5,50000,93,0.9656963650518904,0.9724164888635699
Ne20,0.5,50000,97,0.9699193982006356,0.9765502369823849
Ne20,0.5,50000,98,0.9630071944706801,0.9743242037280561
Ne50,0.1,5000,59,0.48648314799405606,0.5318872685620303
Ne50,0.1,5000,60,0.5160974238954331,0.571637975858839
Ne50,0.1,5000,62,0.4826091964504833,0.5475898151591334
Ne50,0.1,5000,61,0.5207691093214339,0.5808087996847843
Ne50,0.1,5000,65,0.3951499507819923,0.4423427966417804
Ne50,0.1,5000,63,0.45789840187994546,0.5254221736522003
Ne50,0.1,5000,66,0.5503543370056305,0.5958205054075345
Ne50,0.1,5000,64,0.45778759769870775,0.5105126478378491
Ne50,0.1,5000,67,0.5151618248057722,0.568015316399995
Ne50,0.1,5000,68,0.5421974226306213,0.5705625510892036
Ne50,0.1,5000,70,0.44176004619988696,0.49515985391075995
Ne50,0.1,5000,69,0.4628905258028957,0.5159067282424057
Ne50,0.1,5000,71,0.45933032435800586,0.5129362101017664
Ne50,0.1,5000,72,0.4704361720009903,0.5056183641056375
