Ne,N,h2,beta2,replicate,empirical_ncp
100,10000,0.1,0.01,32,92.6213885240937
100,10000,0.1,0.01,33,72.28922138533898
100,10000,0.1,0.01,34,85.0153517573735
100,10000,0.1,0.01,35,76.61528025133171
100,10000,0.1,0.01,36,83.80636174301675
100,10000,0.1,0.01,37,88.66199201234869
100,10000,0.1,0.01,38,84.78971646259527
100,10000,0.1,0.01,39,80.69296044078911
100,10000,0.1,0.01,40,82.33344396149798
100,10000,0.1,0.01,41,77.02928868066013
100,10000,0.1,0.01,42,82.54824137056183
100,10000,0.1,0.01,43,92.95190849353557
100,10000,0.1,0.01,44,86.90280471629345
100,10000,0.1,0.01,45,87.39672624504503
100,10000,0.1,0.01,46,71.6944897234135
100,10000,0.1,0.01,47,86.67279471343147
100,10000,0.1,0.01,48,71.68484439356448
100,10000,0.1,0.01,49,75.17937408315416
100,10000,0.1,0.01,50,73.31839252577798
100,10000,0.1,0.01,51,75.1988509411033
100,10000,0.1,0.01,52,87.72424801584206
100,10000,0.1,0.01,53,69.525726118411
100,10000,0.1,0.01,54,63.91048100079797
100,10000,0.1,0.01,55,72.129703500581
100,10000,0.1,0.01,56,86.06732542690585
100,10000,0.1,0.01,57,86.15791781539897
100,10000,0.1,0.01,58,86.90254495520301
100,10000,0.1,0.01,59,78.81379704776248
100,10000,0.1,0.01,60,92.99018793648546
100,10000,0.1,0.01,61,85.06333368506937
100,10000,0.1,0.01,62,73.10367490162712
100,10000,0.1,0.01,63,72.93567560321345
100,10000,0.1,0.01,64,83.46988254284938
100,10000,0.1,0.01,65,73.23055504064732
100,10000,0.1,0.01,66,97.52243257852066
100,10000,0.1,0.01,67,73.95655494467925
100,10000,0.1,0.01,68,75.4074793128859
100,10000,0.1,0.01,69,74.58940318935979
100,10000,0.1,0.01,70,70.39976141539383
100,10000,0.1,0.01,71,76.39959319576327
100,10000,0.1,0.01,72,89.06480960815159
100,10000,0.1,0.01,73,83.54461085173293
100,10000,0.1,0.01,74,83.98222937978338
100,10000,0.1,0.01,75,68.37925909185063
100,10000,0.1,0.01,76,72.41950572187856
100,10000,0.1,0.01,77,76.43799587490153
100,10000,0.1,0.01,78,86.26150382168842
100,10000,0.1,0.01,79,74.06292083222165
100,10000,0.1,0.01,80,76.19090557031784
100,10000,0.1,0.01,81,74.92789239576464
100,10000,0.1,0.01,82,74.83623692247036
100,10000,0.1,0.01,83,75.71815593533735
100,10000,0.1,0.01,84,64.30150049755805
100,10000,0.1,0.01,85,78.92437417848087
100,10000,0.1,0.01,86,74.3344264289901
100,10000,0.1,0.01,87,70.73945568834117
100,10000,0.1,0.01,88,71.03155830885677
100,10000,0.1,0.01,89,86.26095738061876
100,10000,0.1,0.01,90,73.08154439207445
100,10000,0.1,0.01,91,69.38690762991953
100,10000,0.1,0.01,92,84.82731867770487
100,10000,0.1,0.01,93,66.98949438529374
100,10000,0.1,0.01,94,87.92888156983129
100,10000,0.1,0.01,95,71.40616846247352
100,10000,0.1,0.01,96,75.10895222398902
100,10000,0.1,0.01,97,78.40235075461337
100,10000,0.1,0.01,98,66.79277780361129
100,10000,0.1,0.01,99,82.01153841234907
100,10000,0.1,0.01,100,80.6292644751483
100,20000,0.1,0.01,1,143.63494415129017
100,20000,0.1,0.01,2,133.12016113211075
100,20000,0.1,0.01,3,121.1196315096815
100,20000,0.1,0.01,4,126.1490441691839
100,20000,0.1,0.01,5,126.9954066820208
100,20000,0.1,0.01,6,155.07093521856928
100,20000,0.1,0.01,7,142.0747224055012
100,20000,0.1,0.01,8,136.47875270145852
100,20000,0.1,0.01,9,160.91608653794032
100,20000,0.1,0.01,10,130.91234892534305
100,20000,0.1,0.01,11,116.53222154391324
100,20000,0.1,0.01,12,125.76142212463478
100,20000,0.1,0.01,13,133.75708977202873
100,20000,0.1,0.01,14,133.28591322049152
100,20000,0.1,0.01,15,150.00801363758492
100,20000,0.1,0.01,16,114.08469842814517
100,20000,0.1,0.01,17,145.5068146526774
100,20000,0.1,0.01,18,138.43244080636913
100,20000,0.1,0.01,19,131.82160709865357
100,20000,0.1,0.01,20,127.25393160514392
100,20000,0.1,0.01,21,142.16200169850373
100,20000,0.1,0.01,22,141.60901050010096
100,20000,0.1,0.01,23,132.1957932995271
100,20000,0.1,0.01,24,119.47147076211111
100,20000,0.1,0.01,25,111.01044516624128
100,20000,0.1,0.01,26,124.09818852764047
100,20000,0.1,0.01,27,141.0409303081259
100,20000,0.1,0.01,28,136.86105034045084
100,20000,0.1,0.01,29,122.95131371634588
100,20000,0.1,0.01,30,139.84586027013972
100,20000,0.1,0.01,31,130.4741122035917
100,20000,0.1,0.01,32,119.73009609971362
100,20000,0.1,0.01,33,135.4901627152957
100,20000,0.1,0.01,34,147.32072640514798
100,20000,0.1,0.01,35,147.5056712380399
100,20000,0.1,0.01,36,117.432903560719
100,20000,0.1,0.01,37,138.08918089050547
100,20000,0.1,0.01,38,147.74731479014548
100,20000,0.1,0.01,39,120.95376548839124
100,20000,0.1,0.01,40,158.97004399837334
100,20000,0.1,0.01,41,112.62036212910198
100,20000,0.1,0.01,42,130.75290584749524
100,20000,0.1,0.01,43,128.57089894006322
100,20000,0.1,0.01,44,140.07717582365345
100,20000,0.1,0.01,45,134.0143799904314
100,20000,0.1,0.01,46,117.11884700039877
100,20000,0.1,0.01,47,134.24320176510517
100,20000,0.1,0.01,48,131.2893185463703
100,20000,0.1,0.01,49,143.24613413038512
100,20000,0.1,0.01,50,130.41204491208805
100,20000,0.1,0.01,51,119.6557759952137
100,20000,0.1,0.01,52,146.60676241490472
100,20000,0.1,0.01,53,118.53473125729303
100,20000,0.1,0.01,54,122.64029669383744
100,20000,0.1,0.01,55,128.4843954915449
100,20000,0.1,0.01,56,160.27383270030813
100,20000,0.1,0.01,57,145.78315340090347
100,20000,0.1,0.01,58,118.01938374581896
100,20000,0.1,0.01,59,119.8317251277543
100,20000,0.1,0.01,60,151.7402474966139
100,20000,0.1,0.01,61,124.38575112164888
100,20000,0.1,0.01,62,133.6648137551012
100,20000,0.1,0.01,63,119.10731593871931
100,20000,0.1,0.01,64,142.58970251216903
100,20000,0.1,0.01,65,126.19045076405196
100,20000,0.1,0.01,66,151.3024658317061
100,20000,0.1,0.01,67,139.72623640557418
100,20000,0.1,0.01,68,119.78668659599232
100,20000,0.1,0.01,69,128.50593089554022
100,20000,0.1,0.01,70,135.4041555259618
100,20000,0.1,0.01,71,125.8382962723953
100,20000,0.1,0.01,72,130.8416961883222
100,20000,0.1,0.01,73,152.52082007804552
100,20000,0.1,0.01,74,137.64867325835576
100,20000,0.1,0.01,75,123.25228385816254
100,20000,0.1,0.01,76,130.78775865516937
100,20000,0.1,0.01,77,125.27934574904945
100,20000,0.1,0.01,78,154.54229652179407
100,20000,0.1,0.01,79,122.60920005932753
100,20000,0.1,0.01,80,134.66925528705818
100,20000,0.1,0.01,81,132.8950576093818
100,20000,0.1,0.01,82,124.96999111865848
100,20000,0.1,0.01,83,133.6820804519059
100,20000,0.1,0.01,84,133.59215065879545
100,20000,0.1,0.01,85,132.2086147769057
100,20000,0.1,0.01,86,116.85744795839669
100,20000,0.1,0.01,87,153.41587516650938
100,20000,0.1,0.01,88,130.59860206249363
100,20000,0.1,0.01,89,131.50466638100508
100,20000,0.1,0.01,90,117.33150962111642
100,20000,0.1,0.01,91,142.52123361249193
100,20000,0.1,0.01,92,143.11860645398278
100,20000,0.1,0.01,93,127.60106987842738
100,20000,0.1,0.01,94,129.3971115681068
100,20000,0.1,0.01,95,120.9086521422166
100,20000,0.1,0.01,96,107.67735563665894
100,20000,0.1,0.01,97,124.69704684057936
100,20000,0.1,0.01,98,134.5731855082082
100,20000,0.1,0.01,99,120.84829617245805
100,20000,0.1,0.01,100,158.9734956880764
100,5000,0.1,0.01,1,56.71437912458557
